Config *****   INC_win: 1
Config *****   SIG: 0
Config *****   add_len: 0
Config *****   att: 9
Config *****   batch_size: 100
Config *****   d_lr: 1e-08
Config *****   feature_len: 20
Config *****   loop: 10
Config *****   lr: 0.0001
Config *****   memory_size: 100000
Config *****   multi: 1
Config *****   netFile: kitti_9
Config *****   nodes_0_base: 1024, 128
Config *****   nodes_1_out: 32
Config *****   nodes_2_feature: 32
Config *****   num_output: 3
Config *****   t_scale: 10
Config *****   te: p_files/kitty_02_Test_cv_s3_2.p
Config *****   tr: p_files/kitty_00_Train_cv_s3_2.p
loading /home/weihao/Projects/p_files/kitty_00_Train_cv_s3_2.p 0:00:44.595650 27234 27234 589 10.4780087897
Saving averages: /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
0 -0.0184571465634 0.437587300242
1 -0.148160065576 0.452617019858
2 -0.0197412769929 0.433858247211
3 -0.148655766687 0.450859829724
4 126.833272084 64.9100426759
5 0.432904853605 0.199554492157
6 3.27143769242 1.78455532594
7 5.11004231967 6.9288501717
8 5.11189527122 6.91173383515
loading /home/weihao/Projects/p_files/kitty_02_Test_cv_s3_2.p 0:00:38.198810 27954 4192 494 10.3886589781
loading /home/weihao/Projects/p_files/kitty_00_Train_cv_s3_2.p 0:00:44.450483 27234 2704 589 10.4780087897
Reading average file /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
Reading average file /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
Reading average file /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
input attribute 9 LR 0.0001 feature 20 add 0
feature_0 9 32
base_0 160 1024
base_1 1024 128
out_0 128 32
out 32 3
output 20
it: 1.310 5.734 8.69e-05 4.893 5.133 1.151 1.231  3.772 4.251 1.055 1.083  3.940 
it: 1.320 5.777 8.68e-05 4.125 4.759 1.147 1.228  3.317 4.302 1.027 1.061  4.035 
it: 1.330 5.821 8.67e-05 3.824 4.765 1.105 1.152  2.887 3.955 0.995 1.031  4.085 
it: 1.340 5.865 8.66e-05 4.959 5.742 1.422 1.495  4.902 5.600 1.388 1.446  3.949 
it: 1.350 5.909 8.65e-05 4.335 4.842 1.157 1.162  3.157 3.916 1.015 1.070  3.972 
it: 1.360 5.952 8.64e-05 4.177 5.047 1.150 1.182  3.220 4.189 0.992 1.043  4.031 
it: 1.370 5.996 8.63e-05 5.223 5.978 1.345 1.330  4.643 7.388 1.251 1.291  3.914 
it: 1.380 6.040 8.62e-05 4.376 4.818 1.134 1.173  3.213 4.013 1.015 1.036  3.911 
it: 1.390 6.083 8.61e-05 4.500 4.919 1.169 1.207  3.488 4.144 1.054 1.092  3.972 
it: 1.400 6.127 8.60e-05 4.353 4.893 1.143 1.203  3.227 4.316 1.038 1.061  4.023 
it: 1.410 6.170 8.59e-05 4.536 6.040 1.153 1.228  3.378 4.731 1.029 1.083  3.960 
it: 1.420 6.214 8.58e-05 4.810 6.232 1.227 1.242  3.836 5.612 1.093 1.122  3.917 
it: 1.430 6.257 8.57e-05 4.486 4.918 1.128 1.176  3.669 3.714 0.985 0.990  3.874 
it: 1.440 6.302 8.56e-05 4.068 4.947 1.211 1.261  3.392 3.984 1.111 1.147  3.907 
it: 1.450 6.345 8.55e-05 4.579 5.038 1.158 1.216  3.273 3.876 0.988 1.027  3.751 
it: 1.460 6.390 8.54e-05 4.877 5.619 1.150 1.222  3.770 3.797 1.064 1.098  3.743 
it: 1.470 6.433 8.53e-05 4.132 5.015 1.126 1.239  3.232 4.061 1.075 1.120  3.775 
it: 1.480 6.477 8.52e-05 4.225 5.451 1.152 1.215  3.139 4.379 1.004 1.060  3.739 
it: 1.490 6.521 8.51e-05 4.393 5.096 1.092 1.147  3.727 4.135 0.986 1.004  3.769 
it: 1.500 6.564 8.50e-05 4.069 4.785 1.151 1.191  3.095 3.535 1.011 1.053  3.825 
it: 1.510 6.608 8.49e-05 4.837 5.269 1.248 1.292  3.459 4.067 1.122 1.180  3.699 
it: 1.520 6.652 8.48e-05 5.022 5.196 1.175 1.210  3.339 3.958 1.053 1.081  3.717 
it: 1.530 6.696 8.47e-05 4.466 4.809 1.244 1.261  3.315 4.039 1.154 1.141  3.791 
